110580
110580
294948
248836

Showing data for heap: 0x3ffb8000 
Block 0x3ffb8180 data, size: 356 bytes, Free: No 
Block 0x3ffb82e8 data, size: 96 bytes, Free: No
Block 0x3ffb834c data, size: 96 bytes, Free: No 
Block 0x3ffb83b0 data, size: 492 bytes, Free: No
Block 0x3ffb85a0 data, size: 2792 bytes, Free: No
Block 0x3ffb908c data, size: 524 bytes, Free: No
Block 0x3ffb929c data, size: 128 bytes, Free: No 
Block 0x3ffb9320 data, size: 204 bytes, Free: No
Block 0x3ffb93f0 data, size: 96 bytes, Free: No
Block 0x3ffb9454 data, size: 272 bytes, Free: No 
Block 0x3ffb9568 data, size: 336 bytes, Free: No
Block 0x3ffb96bc data, size: 248 bytes, Free: No
Block 0x3ffb97b8 data, size: 268 bytes, Free: No
Block 0x3ffb98c8 data, size: 96 bytes, Free: No 
Block 0x3ffb992c data, size: 96 bytes, Free: No
Block 0x3ffb9990 data, size: 96 bytes, Free: No
Block 0x3ffb99f4 data, size: 20 bytes, Free: No
Block 0x3ffb9a0c data, size: 16 bytes, Free: Yes 

Showing data for heap: 0x3ffb0000
Block 0x3ffb02e4 data, size: 48 bytes, Free: No
Block 0x3ffb0318 data, size: 8204 bytes, Free: No
Block 0x3ffb2328 data, size: 96 bytes, Free: No 
Block 0x3ffb238c data, size: 96 bytes, Free: No
Block 0x3ffb23f0 data, size: 52 bytes, Free: No
Block 0x3ffb2428 data, size: 24 bytes, Free: No 
Block 0x3ffb2444 data, size: 16192 bytes, Free: Yes

Showing data for heap: 0x3ffae6e0
Block 0x3ffae860 data, size: 48 bytes, Free: No
Block 0x3ffae894 data, size: 5752 bytes, Free: Yes 

Showing data for heap: 0x3ffaff10
Block 0x3ffaffdc data, size: 16 bytes, Free: No
Block 0x3ffafff0 data, size: 12 bytes, Free: Yes

Showing data for heap: 0x3ffb6388 
Block 0x3ffb6508 data, size: 264 bytes, Free: No
Block 0x3ffb6614 data, size: 20 bytes, Free: No
Block 0x3ffb662c data, size: 24 bytes, Free: No
Block 0x3ffb6648 data, size: 28 bytes, Free: No 
Block 0x3ffb6668 data, size: 204 bytes, Free: No
Block 0x3ffb6738 data, size: 204 bytes, Free: No
Block 0x3ffb6808 data, size: 440 bytes, Free: No 
Block 0x3ffb69c4 data, size: 96 bytes, Free: No
Block 0x3ffb6a28 data, size: 96 bytes, Free: No
Block 0x3ffb6a8c data, size: 96 bytes, Free: No
Block 0x3ffb6af0 data, size: 140 bytes, Free: No 
Block 0x3ffb6b80 data, size: 140 bytes, Free: No
Block 0x3ffb6c10 data, size: 24 bytes, Free: No
Block 0x3ffb6c2c data, size: 96 bytes, Free: No 
Block 0x3ffb6c90 data, size: 96 bytes, Free: No
Block 0x3ffb6cf4 data, size: 20 bytes, Free: No
Block 0x3ffb6d0c data, size: 96 bytes, Free: No
Block 0x3ffb6d70 data, size: 24 bytes, Free: No 
Block 0x3ffb6d8c data, size: 20 bytes, Free: No
Block 0x3ffb6da4 data, size: 96 bytes, Free: No
Block 0x3ffb6e08 data, size: 96 bytes, Free: No
Block 0x3ffb6e6c data, size: 96 bytes, Free: No 
Block 0x3ffb6ed0 data, size: 96 bytes, Free: No
Block 0x3ffb6f34 data, size: 1036 bytes, Free: No
Block 0x3ffb7344 data, size: 356 bytes, Free: No
